#,股票代號/名稱,類別,20260424,20260430,20260508,20260515,20260522,20260529,總增減,上週持有%
57,2406/國碩,光電,0.75,0.34,3.21,-0.53,-0.75,0.70,3.72,37.12
58,6414/樺漢,電腦週邊,2.14,0.03,1.65,0.90,-0.89,-0.13,3.70,65.03
59,3376/新日興,電子零組件,4.18,-2.19,0.71,-3.90,2.76,2.10,3.66,53.36
60,2438/翔耀,光電,0.00,0.01,-0.02,3.85,-0.01,-0.19,3.64,58.33
61,2376/技嘉,電腦週邊,1.20,-0.04,1.85,0.71,-0.18,0.05,3.59,69.95
62,1563/巧新,汽車,-0.05,0.37,0.56,0.63,0.14,1.92,3.57,44.72
63,2606/裕民,航運,0.39,-0.16,0.70,0.61,0.12,1.89,3.55,76.85
64,3024/憶聲,光電,1.12,0.96,0.67,-0.37,0.78,0.26,3.42,51.13
65,2401/凌陽,半導體,2.00,-1.08,0.54,0.33,2.68,-1.11,3.36,39.76
66,2338/光罩,半導體,-0.64,0.09,2.32,-2.37,1.61,2.23,3.24,50.87
67,8016/矽創,半導體,0.44,-0.53,1.80,2.15,-0.40,-0.25,3.21,44.82
68,4526/東台,電機,-0.23,-0.43,1.76,-1.29,2.04,1.32,3.17,49.91
69,7795/長廣,電子零組件,1.94,0.16,-0.76,0.40,0.05,1.37,3.16,77.96
70,3019/亞光,光電,-0.30,-0.66,0.36,2.08,-0.49,2.13,3.12,39.59
71,5284/jpp-KY,其他,-0.25,0.78,0.60,0.72,-0.51,1.71,3.05,59.84
72,8105/凌巨,光電,0.52,-0.05,0.28,0.60,0.51,1.16,3.02,64.69
73,6831/邁科,電腦週邊,1.77,-1.72,-2.20,4.60,0.59,-0.04,3.00,62.58
74,2603/長榮,航運,0.14,0.32,0.93,0.29,0.28,0.97,2.93,70.64
75,3135/凌航,半導體,0.91,-1.08,-2.81,4.15,-1.03,2.74,2.88,58.71
76,6715/嘉基,電子零組件,-0.72,0.03,2.82,0.91,0.72,-0.92,2.84,79.72
77,6226/光鼎,光電,0.84,-0.82,1.04,-0.04,-0.43,2.25,2.84,24.25
78,2328/廣宇,電子零組件,0.12,0.14,0.53,0.14,0.11,1.79,2.83,43.03
79,9136/巨騰-DR,存託憑證,-0.47,0.38,-0.15,0.00,2.17,0.88,2.81,68.10
80,2342/茂矽,半導體,0.85,0.01,5.00,-4.56,1.07,0.34,2.71,40.92
81,2312/金寶,其他電子,-2.37,0.01,-0.13,0.81,3.46,0.91,2.69,52.76
82,2399/映泰,電腦週邊,-1.04,0.81,-3.70,0.19,2.10,4.33,2.69,33.19
83,2537/聯上發,營建,0.91,-0.21,0.77,0.77,-0.16,0.59,2.67,59.01
84,6197/佳必琪,電子零組件,1.60,2.64,0.83,-1.89,1.47,-1.99,2.66,49.00
85,2303/聯電,半導體,0.98,-0.11,1.17,0.71,-0.12,0.00,2.63,78.73
86,3022/威強電,電腦週邊,0.41,-0.26,1.27,-0.03,0.39,0.82,2.60,60.11
87,3038/全台,光電,0.53,0.64,0.28,0.43,0.19,0.52,2.59,42.91
88,2405/輔信,電腦週邊,0.28,0.09,0.63,-0.09,0.64,1.03,2.58,25.09
89,3041/揚智,半導體,-0.97,0.03,0.74,0.09,1.65,1.03,2.57,25.65
90,2327/國巨*,電子零組件,-0.51,0.44,1.38,0.24,1.34,-0.35,2.54,74.80
91,2301/光寶科,電腦週邊,0.73,0.46,1.71,0.15,-0.33,-0.18,2.54,80.24
92,3057/喬鼎,電腦週邊,0.00,0.00,1.02,1.23,0.04,0.25,2.54,33.45
93,2472/立隆電,電子零組件,0.05,-1.41,0.46,-0.72,0.08,4.06,2.52,61.54
94,4155/訊映,生技醫療業,-0.01,0.00,0.57,0.31,1.09,0.52,2.48,42.99
95,8213/志超,電子零組件,1.44,-0.35,0.13,1.12,-0.29,0.41,2.46,51.55
96,2365/昆盈,電腦週邊,0.02,-0.37,0.42,0.05,1.47,0.86,2.45,24.24
97,3043/科風,其他電子,2.02,0.41,0.00,-0.06,0.16,-0.09,2.44,19.47
98,8210/勤誠,電腦週邊,2.04,-0.44,0.99,1.49,-0.02,-1.68,2.38,71.53
99,2497/怡利電,汽車,1.78,0.08,0.23,-0.40,-0.21,0.88,2.36,68.90
100,911608/明輝-DR,存託憑證,0.15,1.20,0.22,0.14,0.28,0.33,2.32,29.06
101,6202/盛群,半導體,-0.83,0.03,0.47,-0.05,1.12,1.56,2.30,37.79
102,2426/鼎元,光電,-0.82,1.72,0.16,0.20,0.30,0.68,2.24,50.69
103,6862/三集瑞-KY,電子零組件,0.00,0.00,1.16,-1.16,1.01,1.22,2.23,71.95
104,4961/天鈺,半導體,0.96,-0.36,0.28,0.54,1.17,-0.39,2.20,43.26
105,6224/聚鼎,電子零組件,0.11,-0.52,3.76,-1.14,-0.13,0.10,2.18,38.97
106,3034/聯詠,半導體,0.27,0.08,0.58,0.97,-0.31,0.55,2.14,70.63
107,3311/閎暉,通信網路,0.26,-0.42,0.85,0.10,-0.05,1.37,2.11,56.96
108,2030/彰源,鋼鐵,0.34,0.12,0.10,1.68,-0.14,-0.01,2.09,46.49
109,911868/同方友友-DR,存託憑證,0.69,0.07,1.05,0.23,0.13,-0.09,2.08,35.36
110,5283/禾聯碩,電器電纜,0.48,0.17,0.23,0.35,0.33,0.47,2.03,60.58
111,2353/宏卅卅,電腦週邊,0.12,-0.06,0.48,0.21,0.42,0.85,2.02,40.87
112,8070/長華*,電子通路,0.81,-0.12,0.49,0.05,-0.37,1.15,2.01,77.41
113,5234/達興材料,光電,1.76,-0.48,-0.92,0.37,0.11,1.16,2.00,67.87
114,6885/全福生技,生技醫療業,0.87,-0.18,0.05,0.04,0.69,0.52,1.99,37.47
115,3011/今皓,電子零組件,1.91,-0.09,-0.45,0.00,0.77,-0.17,1.97,34.49
116,4912/聯德控股-KY,電子零組件,0.39,-0.87,-0.02,1.69,0.86,-0.09,1.96,54.34
117,2357/華碩,電腦週邊,0.30,-0.39,0.46,0.75,-0.02,0.82,1.92,72.97
118,910861/神州-DR,存託憑證,1.47,0.14,0.14,0.14,1.29,-1.28,1.90,35.28
119,3545/敦泰,半導體,0.22,0.27,0.18,0.83,0.82,-0.47,1.85,24.88
120,6534/正瀚-創,生技醫療業,0.15,0.44,0.13,0.30,0.20,0.61,1.83,82.03
121,3014/聯陽,半導體,-0.33,-0.31,0.41,-1.64,1.57,2.12,1.82,35.56
122,3026/禾伸堂,電子零組件,-0.24,-1.45,0.17,1.35,0.91,1.06,1.80,56.27
123,2316/楠梓電,電子零組件,0.15,-0.45,1.26,0.28,2.18,-1.63,1.79,65.13
124,1721/三晃,化學,8.16,-2.01,1.34,-2.19,-1.32,-2.20,1.78,39.97
125,6446/藥華藥,生技醫療業,-0.40,0.36,0.24,1.08,0.20,0.29,1.77,56.43
126,8473/山林水,綠能,-0.07,-0.02,-0.35,-0.26,1.23,1.23,1.76,68.92
127,7610/聯友金屬-創,綠能,0.95,1.15,-1.98,-1.18,2.05,0.75,1.74,48.03
128,1626/艾美特-KY,電器電纜,1.14,0.15,0.13,0.20,0.02,0.08,1.72,69.64
129,3406/玉晶光,光電,1.53,-1.12,0.48,-0.34,0.21,0.95,1.71,56.62
130,3138/耀登,通信網路,1.03,-1.32,1.05,0.08,0.07,0.78,1.69,27.92
131,1538/正峰,電機,1.44,0.01,0.09,0.15,0.00,0.00,1.69,78.47
132,1527/鑽全,電機,-0.02,0.49,0.11,0.60,0.07,0.44,1.69,31.36
133,2495/普安,電腦週邊,0.87,-1.35,-0.41,-3.29,2.42,3.45,1.69,56.05
134,2458/義隆,半導體,-0.22,-1.00,0.05,0.75,1.50,0.58,1.66,59.91
135,1773/勝一,化學,1.41,0.18,-0.22,0.23,-0.11,0.16,1.65,75.91
136,4557/永新-KY,汽車,0.08,0.02,-0.03,-0.03,-0.11,1.72,1.65,43.71
137,3708/上緯投控,綠能,1.57,-1.26,0.53,0.37,1.16,-0.74,1.63,54.45
138,6873/泓德能源,綠能,0.16,0.07,0.77,0.14,-0.06,0.54,1.62,61.64
139,6416/瑞祺電通,通信網路,0.34,0.04,0.24,0.85,0.23,-0.09,1.61,47.38
140,6283/淳安,其他電子,0.21,-0.01,0.19,0.07,0.55,0.59,1.60,62.24
141,2107/厚生,橡膠,0.00,0.52,0.41,0.43,0.05,0.16,1.57,61.33
142,2379/瑞昱,半導體,0.84,0.03,-0.33,0.07,0.59,0.34,1.54,74.96
143,1590/亞德客-KY,電機,0.76,0.06,0.25,0.07,-0.02,0.42,1.54,73.44
144,4440/宜新實業,紡織,0.71,0.09,0.15,0.54,0.05,0.00,1.54,56.84
145,9912/偉聯,電腦週邊,0.28,0.13,0.19,0.53,0.26,0.14,1.53,61.21
146,4976/佳凌,光電,0.32,0.32,0.32,0.48,0.78,-0.69,1.53,33.02
147,4551/智伸科,汽車,0.65,0.07,0.45,0.37,0.21,-0.22,1.53,80.88
148,6272/驊陞,電子零組件,-0.03,0.24,0.04,0.07,0.21,0.99,1.52,52.14
149,4770/上品,化學,0.56,-0.54,0.04,-0.50,0.00,1.94,1.50,64.39
150,2444/兆勁,通信網路,0.55,0.55,0.08,0.10,-0.03,0.25,1.50,26.41
151,2349/錸德,光電,-0.05,-0.04,-0.02,-0.14,0.44,1.29,1.48,27.67
152,8429/金麗-KY,貿易百貨,0.38,0.28,0.44,-0.46,0.50,0.33,1.47,41.61
153,3593/力銘,電子零組件,0.00,0.73,0.04,0.02,0.01,0.67,1.47,63.35
154,6412/群電,電子零組件,-0.06,-0.04,0.36,0.12,0.49,0.59,1.46,83.45
155,2461/光群雷,其他電子,0.68,0.39,0.46,0.13,0.01,-0.21,1.46,47.34
156,2542/興富發,營建,-0.27,0.59,0.09,0.73,0.31,0.00,1.45,61.86
157,8201/無敵,其他電子,0.00,0.00,0.00,0.00,0.00,1.44,1.44,57.81
158,2420/新巨,電子零組件,0.31,-0.08,0.28,0.07,0.09,0.77,1.44,51.66
159,4439/冠星-KY,紡織,1.19,0.14,0.05,0.01,0.04,0.01,1.44,78.52
160,7823/奧義賽博-KY創,雲端,0.02,-0.07,-0.22,-0.09,1.59,0.20,1.43,73.56
161,2457/飛宏,電子零組件,0.03,0.01,0.99,-0.29,0.40,0.29,1.43,29.94
162,6756/威鋒電子,半導體,0.58,0.02,0.67,0.23,0.00,-0.11,1.39,61.59
163,1605/華新,電器電纜,-0.74,-0.05,1.85,-0.60,0.42,0.51,1.39,71.96
164,3042/晶技,電子零組件,0.73,-0.06,-1.28,-0.32,-0.23,2.54,1.38,68.38
165,4919/新唐,半導體,2.22,-0.24,-0.38,-3.94,2.38,1.33,1.37,68.23
166,3596/智易,通信網路,0.39,0.27,-0.39,-0.51,0.78,0.82,1.36,74.11
167,1460/宏遠,紡織,0.35,0.26,0.28,0.25,0.18,0.03,1.35,71.67
168,1447/力鵬,紡織,-0.05,-0.16,0.08,0.24,0.93,0.27,1.31,71.52
169,2535/達欣工,營建,0.66,0.29,0.17,-0.17,-0.11,0.47,1.31,61.07
